id_original -> id_final | titre | fichier paroles
1 -> 1 | Conduis Moi Seigneur | paroles/conduis-moi-seigneur.txt
2 -> 2 | Aimé Jesus (t'aimer) | paroles/aime-jesus-taimer.txt
3 -> 3 | Onction divines | paroles/onction-divines.txt
4 -> 4 | Veu ma ngul dzoue | paroles/veu-ma-ngul-dzoue.txt
5 -> 5 | Le grand Boss | paroles/le-grand-boss.txt
6 -> 6 | Freedom | paroles/freedom.txt
7 -> 7 | Touche moi Seigneur | paroles/touche-moi-seigneur.txt
8 -> 8 | U Koli | paroles/u-koli.txt
9 -> 9 | je me prosterne devant toi | paroles/je-me-prosterne-devant-toi.txt
10 -> 10 | J'aime le nom de Jesus | paroles/jaime-le-nom-de-jesus.txt
11 -> 11 | Reçois ma louange Dieu Souverain | paroles/recois-ma-louange-dieu-souverain.txt
12 -> 12 | Je suis l'argile et toi le potier | paroles/je-suis-largile-et-toi-le-potier.txt
13 -> 13 | Tu es mon refuge | paroles/tu-es-mon-refuge.txt
14 -> 14 | My God is a king / Eh yaya eh | paroles/my-god-is-a-king-eh-yaya-eh.txt
15 -> 15 | Tu règne dans les cieux | paroles/tu-regne-dans-les-cieux.txt
16 -> 16 | Oui je crois en toi Seigneur | paroles/oui-je-crois-en-toi-seigneur.txt
17 -> 17 | J'avais décidé de tout abandonner | paroles/javais-decide-de-tout-abandonner.txt
18 -> 18 | Ti me ngui yo | paroles/ti-me-ngui-yo.txt
19 -> 19 | J'aime ta presence | paroles/jaime-ta-presence.txt
20 -> 20 | Je t'aime Seigneur (remplis moi de ton amour) | paroles/je-taime-seigneur-remplis-moi-de-ton-amour.txt
21 -> 21 | Gloire gloire à celui qui vie la haut | paroles/gloire-gloire-a-celui-qui-vie-la-haut.txt
22 -> 22 | Tu mérites la gloire | paroles/tu-merites-la-gloire.txt
23 -> 23 | Tu peux le faire | paroles/tu-peux-le-faire.txt
24 -> 24 | Jehovah tu es mon refuge sur | paroles/jehovah-tu-es-mon-refuge-sur.txt
25 -> 25 | Power of ressurection | paroles/power-of-ressurection.txt
26 -> 26 | Seigneur je veux entrer dans ton sanctuaire | paroles/seigneur-je-veux-entrer-dans-ton-sanctuaire.txt
27 -> 27 | Plus près de toi | paroles/plus-pres-de-toi.txt
28 -> 28 | L'Éternel est mon Berger | paroles/leternel-est-mon-berger.txt
29 -> 29 | Quand tu es là | paroles/quand-tu-es-la.txt
